reaction,gene,flux
rxn00300_c0,ACIAD_RS14735,0.0006705006542932595
rxn05335_c0,ACIAD_RS06370,0.04157577294660037
rxn06078_c0,ACIAD_RS10585,0.03144842927085853
rxn06078_c0,ACIAD_RS15305,0.03144842927085853
rxn05595_c0,ACIAD_RS15445,0.0006705006542932597
rxn05348_c0,ACIAD_RS04060,0.07518302368467122
rxn05348_c0,ACIAD_RS02645,0.07518302368467122
rxn05348_c0,ACIAD_RS09640,0.07518302368467122
rxn05348_c0,ACIAD_RS02575,0.07518302368467122
rxn00907_c0,ACIAD_RS11600,0.11931130881853495
rxn00907_c0,ACIAD_RS12840,0.11931130881853495
rxn02404_c0,ACIAD_RS06845,0.01344290029522833
rxn09188_c0,ACIAD_RS07555,-0.8269885311309374
rxn08822_c0,ACIAD_RS14195,-0.020787886473300148
rxn08822_c0,ACIAD_RS09285,-0.020787886473300148
rxn08822_c0,ACIAD_RS08945,-0.020787886473300148
rxn08822_c0,ACIAD_RS10330,-0.020787886473300148
rxn05030_c0,ACIAD_RS06335,0.006721450147614108
rxn05345_c0,ACIAD_RS04060,0.06846157353705702
rxn05345_c0,ACIAD_RS02645,0.06846157353705702
rxn05345_c0,ACIAD_RS09640,0.06846157353705702
rxn05345_c0,ACIAD_RS02575,0.06846157353705702
rxn00336_c0,ACIAD_RS04985,2.028443057769416
rxn01465_c0,ACIAD_RS06555,-0.03599085332143068
rxn01465_c0,ACIAD_RS05295,-0.03599085332143068
rxn01465_c0,ACIAD_RS05850,-0.03599085332143068
rxn01872_c0,ACIAD_RS12980,-0.06980905137772785
rxn01301_c0,ACIAD_RS01245,-0.1712201251279513
rxn01643_c0,ACIAD_RS02180,-0.23566517127133307
rxn00248_c0,ACIAD_RS14285,3.784635681485909
rxn00499_c0,ACIAD_RS00505,-0.0843296877601033
rxn01637_c0,ACIAD_RS05665,-0.05055953681912214
rxn01637_c0,ACIAD_RS05905,-0.05055953681912214
rxn00392_c0,ACIAD_RS00125,0.0003352503271466297
